symptoms
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Pessimism']"
"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Indecisiveness', 'Worthlessness_and_guilty']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Genitourinary_symptoms']"
"['Depressed_Mood', 'Poor_memory', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Poor_memory', 'Worthlessness_and_guilty']"
"['Hyperactivity_agitation', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Suicidal_ideas', 'Depressed_Mood', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation']"
"['Loss_of_interest_or_motivation', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Hyperactivity_agitation', 'Inattention', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Poor_memory']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Hyperactivity_agitation', 'Depressed_Mood', 'Worthlessness_and_guilty']"
"['Suicidal_ideas', 'Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Anger_Irritability', 'Depressed_Mood', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Inattention']"
"['Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Pessimism', 'Suicidal_ideas']"
"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Depressed_Mood', 'Indecisiveness']"
"['Anger_Irritability', 'Depressed_Mood', 'Decreased_energy_tiredness_fatigue']"
