,post,type,symptom,description,label
0,I frequently experience episodes of heightened irritability and anger that are disproportionate to the situation.,clinical,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,I can’t control my temper anymore; I’m always snapping at everyone for no reason.,colloquial,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"I have a persistently low threshold for frustration, leading to frequent feelings of anger.",clinical,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"I get pissed off so easily these days, even the smallest things set me off.",colloquial,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"I regularly find myself in a state of agitation and irritability, often without a clear trigger.",clinical,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"I’m mad all the time, and it feels like I can't escape this anger inside me.",colloquial,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,My emotional responses are characterized by frequent and intense anger that I struggle to control.,clinical,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"I feel constantly on edge, like I could explode at any moment.",colloquial,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,I often experience an overwhelming sense of irritability that affects my interactions with others.,clinical,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"I'm just so irritable all the time, even my own thoughts make me angry.",colloquial,Anger_Irritability,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,I experience heightened levels of irritability when I encounter reminders of the traumatic event.,clinical,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,Hearing about it again just makes me feel so angry.,colloquial,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,I find myself becoming quickly agitated when reminded of the trauma.,clinical,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,I just can't stand it when something brings it up; it sets me off.,colloquial,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,There is a noticeable increase in my emotional upset when the traumatic event is mentioned.,clinical,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"Every time I think about what happened, I get so pissed off.",colloquial,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,I exhibit significant irritability when confronted with cues related to the traumatic experience.,clinical,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Just hearing a word or seeing something about it makes my blood boil.,colloquial,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Exposure to reminders of the trauma results in acute emotional distress and irritability.,clinical,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,I can't help but feel angry whenever it comes up in conversation.,colloquial,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,I experience frequent episodes of irritability that seem disproportionate to the situation.,clinical,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,I can't handle the little things without losing my temper.,colloquial,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,There are times when my anger escalates rapidly without a clear trigger.,clinical,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"I get mad so easily, it's like I have no patience for anything.",colloquial,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,I often feel a persistent sense of irritability that I can't seem to shake off.,clinical,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,Every little thing gets on my nerves lately.,colloquial,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,I have noticed an increase in episodes of anger that disrupt my daily functioning.,clinical,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,"I snap at people over the smallest things, and I can't stop myself.",colloquial,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"My threshold for frustration has significantly lowered, leading to frequent bursts of anger.",clinical,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,I feel like I'm always on edge and ready to explode.,colloquial,Anger_Irritability,Feeling irritable or having fits of anger,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,I often experience irritability and anger that feels disproportionate to the situation.,clinical,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,I'm finding myself snapping at people over the smallest things lately.,colloquial,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,I have frequent episodes of anger that are difficult to control.,clinical,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"Everything seems to piss me off these days, even stuff that shouldn't.",colloquial,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,I display irritability and short-tempered reactions in everyday interactions.,clinical,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,I've been losing my temper over things that never used to bother me.,colloquial,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,My irritability often leads to unprovoked angry outbursts.,clinical,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"These days, I feel like I could explode over nothing at all.",colloquial,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,I frequently experience unmanageable anger that affects my interactions.,clinical,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"I feel so on edge lately, like I'm just waiting to blow up.",colloquial,Anger_Irritability,Irritable behavior and angry outbursts,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,I have been experiencing heightened levels of irritability and it is affecting my daily interactions.,clinical,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,I get angry over the smallest things lately and it's driving me nuts.,colloquial,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"There is a notable increase in my irritability, and it often results in conflict with others.",clinical,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,I can't seem to keep my cool anymore; everything just sets me off.,colloquial,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"My emotional responses are more irritable than usual, leading to frequent frustration.",clinical,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"I snap at people for no reason, and it's like I can't control my temper.",colloquial,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"I find myself feeling more irritable and easily angered, which disrupts my relationships.",clinical,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,"Even little things piss me off these days, and it happens way too often.",colloquial,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"There is a persistent sense of irritability, and it interferes with my ability to function normally.",clinical,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"I feel grumpy and annoyed all the time, and I don't know why.",colloquial,Anger_Irritability,Exhibiting increased irritability,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,I frequently experience outbursts of verbal aggression directed at others over minor provocations.,clinical,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,I can't seem to stop snapping at people for no good reason.,colloquial,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,I exhibit episodes of heightened irritability resulting in aggressive verbal exchanges.,clinical,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,I keep yelling at people even when they don't deserve it.,colloquial,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,I demonstrate significant verbal hostility when interacting with others during periods of irritability.,clinical,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,I find myself lashing out verbally at people all the time.,colloquial,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,"I have difficulty controlling verbal aggression, which often targets individuals around me.",clinical,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,I keep losing my cool and shouting at everyone.,colloquial,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,I experience episodes where my verbal responses to others are disproportionately aggressive.,clinical,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,I can't stop myself from saying mean things to people.,colloquial,Anger_Irritability,Verbal aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,I often find myself verbally lashing out at inanimate objects without much provocation.,clinical,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
