,post,type,symptom,label
0,"I frequently experience persistent feelings of sadness and emotional numbness, coupled with an exaggerated sense of responsibility for untoward events, leading to overwhelming guilt.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1,"I have a pervasive sense of gloom and often misinterpret day-to-day events as evidence of my personal defects, which heightens my sense of worthlessness.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
2,"I feel emotionally numb and criticize myself incessantly for all my perceived faults, which amplifies my sense of guilt and low self-worth.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
3,"I experience a persistent low mood and frequently ruminate over minor past failings, resulting in a distressing sense of guilt and self-blame.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
4,"I struggle with feelings of emptiness and hold distorted cognitions about traumatic events, leading me to blame myself excessively, which intensifies my feelings of depression.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
5,"I feel so empty and worthless all the time, and I can't help but blame myself for everything that goes wrong.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
6,"It's like I'm in a constant state of gloom, and no matter what happens, I find a way to make it my fault and feel guilty.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
7,"I can't shake off this feeling of despair, and I feel like I'm constantly disappointing myself and everyone around me.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
8,"I just feel emotionally heavy and criticize myself for everything, which makes me feel even more depressed and worthless.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
9,"Every day feels like a struggle with this persistent sadness, and the guilt for not being better eats me up inside.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
10,"I find myself frequently experiencing a persistent low mood and pervasive sense of hopelessness about the future, combined with recurrent thoughts of death and an overwhelming lack of interest in daily activities.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
