Unnamed: 0,post,type,symptom,description,label
8944.0,"I frequently experience pervasive feelings of inadequacy and guilt, which negatively impact my self-esteem.",clinical,Worthlessness_and_guilty,Experiencing low self-esteem,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
11054.0,I exhibit a marked decrease in the ability to remember and retrieve information.,clinical,Poor_memory,Poor memory,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
10059.0,I just can't find the energy or interest to do what I once enjoyed.,colloquial,Loss_of_interest_or_motivation,Reduced desire to pursue personal goals or ambitions.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12985.0,"I keep eating past the point of being full, and it's painful.",colloquial,Weight_and_appetite_change,Eating until feeling uncomfortably full,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
3799.0,"It's like my body never runs out of energy, and I always have to keep going.",colloquial,Hyperactivity_agitation,"Is often 'on the go,' acting as if 'driven by a motor'","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
9728.0,"I am experiencing a considerable decline in personal care habits, driven by a lack of motivation.",clinical,Loss_of_interest_or_motivation,Neglecting personal care or hygiene due to lack of motivation.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1699.0,Every movement feels like a chore because my energy is just gone.,colloquial,Decreased_energy_tiredness_fatigue,Feeling like energy levels are never replenished.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
9338.0,I exhibit a persistent absence of pleasure from previously gratifying activities.,clinical,Loss_of_interest_or_motivation,"Persistent inability to experience positive emotions (happiness, satisfaction, or loving feelings).","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1321.0,I’m always tired and have no energy to do anything anymore.,colloquial,Decreased_energy_tiredness_fatigue,Lacking the energy to engage in daily activities.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
11658.0,Persistent difficulties in sleep initiation leave me feeling restless throughout the night.,clinical,Sleep_disturbance,Initial insomnia,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
5053.0,I just can't stick with anything that needs a lot of thinking. It's like my brain tunes out.,colloquial,Inattention,Avoids tasks that require sustained mental effort,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
8378.0,"After overeating, there is a persistent and distressing sense of intense guilt and self-revulsion.",clinical,Worthlessness_and_guilty,"Feeling disgusted with oneself, depressed, or very guilty after over-eating","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
8630.0,I consistently hold pervasive beliefs about my own inadequacy and moral failings.,clinical,Worthlessness_and_guilty,"Holding persistent and exaggerated negative beliefs or expectations about oneself, others, or the world","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
11093.0,Why do I keep forgetting where I put my keys all the time?,colloquial,Poor_memory,Poor memory,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
6850.0,I find myself overwhelmed with anxiety when faced with even minor decisions.,clinical,Indecisiveness,Feeling anxious or stressed when faced with decisions,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
6663.0,"I struggle with making choices promptly, resulting in an increased tendency to postpone decisions.",clinical,Indecisiveness,Procrastinating on decision-making tasks,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
2131.0,I'm not feeling anything at all.,colloquial,Depressed_Mood,Having no feelings,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
9356.0,I find it challenging to derive any pleasure or satisfaction from events or activities that were once pleasurable.,clinical,Loss_of_interest_or_motivation,"Persistent inability to experience positive emotions (happiness, satisfaction, or loving feelings).","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
5826.0,"I find it difficult to maintain concentration, frequently losing focus on assignments.",clinical,Inattention,Difficulty sustaining attention in tasks,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
7956.0,I have been gathering data on different techniques for suicide.,clinical,Suicidal_ideas,Researching ways to die,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
1585.0,I have zero energy and just getting out of bed feels impossible some days.,colloquial,Decreased_energy_tiredness_fatigue,Having difficulty completing tasks due to low energy.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
11250.0,I experience frequent difficulty recalling the names of acquaintances during conversations.,clinical,Poor_memory,Difficulty recalling names of acquaintances or colleagues,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
5364.0,I experience significant difficulty in completing occupational duties due to inattention.,clinical,Inattention,Fails to finish duties in the workplace,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
8241.0,I keep thinking that the only way to escape this feeling of being stuck is to end it all.,colloquial,Suicidal_ideas,Feeling trapped and seeing suicide as the only way out,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
10467.0,Why bother trying when I know it's going to end badly?,colloquial,Pessimism,Anticipating failure in upcoming tasks or projects,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
2008.0,There is a persistent and pervasive sadness in my emotional state.,clinical,Depressed_Mood,Persistent feelings of sadness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
364.0,There is a notable increase in my verbal outbursts directed at those I interact with.,clinical,Anger_Irritability,Verbal aggression toward people,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1258.0,My mornings are characterized by a profound sense of fatigue that hinders my ability to get started with daily activities.,clinical,Decreased_energy_tiredness_fatigue,Struggling to get out of bed in the morning.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
4797.0,"I try to concentrate, but my mind just drifts off somewhere else.",colloquial,Inattention,,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
5007.0,I keep starting things and then get distracted and move on without finishing.,colloquial,Inattention,Diminished ability to concentrate,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9184.0,There is a significant lack of motivation to engage in previously enjoyed hobbies.,clinical,Loss_of_interest_or_motivation,I don't enjoy things as much as I used to.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
2506.0,I can't shake off this overwhelming sense of hopelessness.,colloquial,Depressed_Mood,Feeling a sense of despair,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
13557.0,I don't eat when I'm supposed to because I'm just not hungry.,colloquial,Weight_and_appetite_change,Avoiding meals or skipping meals intentionally,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
10872.0,There are frequent instances where I cannot recall conversations or commitments I've made.,clinical,Poor_memory,Complaining of memory difficulties,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
10035.0,I keep ignoring messages and avoid hanging out with people.,colloquial,Loss_of_interest_or_motivation,Loss of interest in maintaining relationships.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
9310.0,I have experienced a marked decrease in motivation to engage in activities I previously found enjoyable.,clinical,Loss_of_interest_or_motivation,Markedly diminished interest or participation in significant activities.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
